add,tr
0x174bfa6600bf90c885c7c01c7031389ed1461ab9,"9,088,354"
0x06012c8cf97bead5deae237070f9587f8e7a266d,"4,911,802"
0x0d8775f648430679a709e98d2b0cb6250d2887ef,"2,926,706"
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,"1,988,162"
0x03df4c372a29376d2c8df33a1b5f001cd8d68b0e,"1,452,755"
0x21ab6c9fac80c59d401b37cb43f81ea9dde7fe34,"1,332,388"
0x0000000000085d4780B73119b644AE5ecd22b376,"1,172,075"
0x1f0480a66883de97d2b054929252aae8f664c15c,"799,862"
0x0d152b9ee87ebae179f64c067a966dd716c50742,"787,612"
0x0e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,"646,166"
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,"625,338"
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,"594,526"
0x14fbca95be7e99c15cc2996c6c9d841e54b79425,"407,479"
0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,"392,408"
0x0abdace70d3790235af448c88547603b945604ea,"387,349"
0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,"386,906"
0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,"327,879"
0x02b3c88b805f1c6982e38ea1d40a1d83f159c3d4,"317,334"
0x08ceed1e8db59acbb687a5752f0a7db815cfda5e,"290,518"
0x0000000000b3f879cb30fe243b4dfee438691c04,"280,969"
0x1985365e9f78359a9b6ad760e32412f4a445e862,"277,404"
0x10086399dd8c1e3de736724af52587a2044c9fa2,"243,634"
0x041fe8df8b4aaa868941eb877952f17babe57da5,"237,593"
0x006699d34AA3013605d468d2755A2Fe59A16B12B,"233,010"
0x0777f76d195795268388789343068e4fcd286919,"227,974"
0x103675510a219bd84CE91d1bcb82Ca194D665a09,"224,523"
0x1519aff03b3e23722511d2576c769a77baf09580,"213,453"
0x048717ea892f23fb0126f00640e2b18072efd9d2,"201,017"
0x00000000219ab540356cbb839cbe05303d7705fa,"200,932"
0x04fa0d235c4abf4bcf4787af4cf447de572ef828,"196,056"
0x007ac2f589eb9d4fe1cea9f46b5f4f52dab73dd4,"191,958"
0x240bae5a27233fd3ac5440b5a598467725f7d1cd,"188,214"
0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,"187,094"
0x182ebf4c80b28efc45ad992ecbb9f730e31e8c7f,"183,862"
0x039b5649a59967e3e936d7471f9c3700100ee1ab,"174,701"
0x1b6c5864375b34af3ff5bd2e5f40bc425b4a8d79,"167,004"
0x0cf0ee63788a0849fe5297f3407f701e122cc023,"166,131"
0x1f5cfb9a00b86bf9982970382bdb900b7744a559,"163,374"
0x167cb3f2446f829eb327344b66e271d1a7efec9a,"160,293"
0x0cfda67b0067f1a99deb1cb80e0273a3f26d317c,"151,135"
0x0c073c92e7684031cfc297b83ecc33619e864d18,"149,069"
0x27054b13b1b798b345b591a4d22e6562d47ea75a,"145,079"
0x1542e790a742333ea6a2f171c5d07a2e7794eef4,"143,121"
0x26e75307fc0c021472feb8f727839531f112f317,"142,867"
0x1a95b271b0535d15fa49932daba31ba612b52946,"141,828"
0x228ba514309ffdf03a81a205a6d040e429d6e80c,"138,667"
0x1c83501478f1320977047008496dacbd60bb15ef,"136,576"
0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,"136,355"
0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,"134,301"
0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,"127,692"
0x242aa8c63aab36df59ce19aaccd020fe4114c349,"126,969"
0x0b76544f6c413a555f309bf76260d1e02377c02a,"126,895"
0x0ac10bf0342fa2724e93d250751186ba5b659303,"124,746"
0x219218f117dc9348b358b8471c55a073e5e0da0b,"122,191"
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,"115,921"
0x07bf5f95851ef2b2996f192569e406a6fea2a95a,"114,445"
0x09678741bd50c3e74301f38fbd0136307099ae5d,"111,270"
0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,"109,845"
0x1531b6e3d51BF80f634957dF81A990B92dA4b154,"108,849"
0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,"107,191"
0x23352036e911a22cfc692b5e2e196692658aded9,"106,829"
0x0651842ee1f973367138cd512709d81bf8a62217,"105,581"
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,"104,185"
0x0be3e6e3d9e99036ccce4fd0b692016de860aa62,"100,582"
0x194524355f26af663468d4996f207a918c73e013,"100,038"
0x1bf68a9d1eaee7826b3593c20a0ca93293cb489a,"98,697"
0x221657776846890989a759ba2973e427dff5c9bb,"97,706"
0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e,"97,184"
0x1e797ce986c3cff4472f7d38d5c4aba55dfefe40,"96,779"
0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44,"95,158"
0x010589b7c33034b802f7dba2c88cc9cec0f46673,"94,725"
0x103c3A209da59d3E7C4A89307e66521e081CFDF0,"91,850"
0x0Ae055097C6d159879521C384F1D2123D1f195e6,"90,609"
0x0488401c3f535193fa8df029d9ffe615a06e74e6,"88,152"
0x26c7bdd051318b48092390eabd1b69fce5080b25,"87,973"
0x1122b6a0e00dce0563082b6e2953f3a943855c1f,"86,910"
0x26fb86579e371c7aedc461b2ddef0a8628c93d3b,"86,666"
0x13db74b3cf512f65c4b91683940b4f3955e05085,"86,448"
0x23a3db04432123ccdf6ef4459684329cc7c0b022,"86,005"
0x037a54aab062628c9bbae1fdb1583c195585fe41,"84,595"
0x1ed3d2c916cab00631cce4b08a7f880d4badae94,"84,206"
0x04abeda201850ac0124161f037efd70c74ddc74c,"83,704"
0x136723300aef2aab4b7cf52c3eaac6f997e12a68,"83,003"
0x00a8b738e453ffd858a7edf03bccfe20412f0eb0,"82,742"
0x1d462811562cc3675375a6d00c1618a370c27836,"82,394"
0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db,"77,577"
0x1fcdce58959f536621d76f5b7ffb955baa5a672f,"76,514"
0x1a3496c18d558bd9c6c8f609e1b129f67ab08163,"76,436"
0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,"75,506"
0x26946ada5ecb57f3a1f91605050ce45c482c9eb1,"73,906"
0x1844b21593262668b7248d0f57a220caaba46ab9,"70,386"
0x185b257aa51fdc45176cf1ffac6a0bfb5cf28afd,"68,037"
0x264dc2dedcdcbb897561a57cba5085ca416fb7b4,"67,884"
0x226bb599a12c826476e3a771454697ea52e9e220,"67,718"
0x1680cfdad75da2bb56ded4f36bb9423c86ffa7b7,"66,180"
0x13f25cd52b21650caa8225c9942337d914c9b030,"66,108"
0x1410434b0346f5be678d0fb554e5c7ab620f8f4a,"65,750"
0x1acb5586b4d030ddf37228ebbf25278142086659,"65,630"
0x1dfabf381d80dd29d43bc347207b30a5c484bbd0,"63,694"
0x08b67e38b4ecc788eb0cfbab72074c374ecddbf3,"63,245"
0x1c4481750daa5ff521a2a7490d9981ed46465dbd,"62,563"
0x00000000441378008ea67f4284a57932b1c000a5,"59,504"
0x05c7065d644096a4e4c3fe24af86e36de021074b,"58,926"
0x1d462414fe14cf489c7a21cac78509f4bf8cd7c0,"58,050"
0x0e8d6b471e332f140e7d9dbb99e5e3822f728da6,"57,199"
0x0BABA1Ad5bE3a5C0a66E7ac838a129Bf948f1eA4,"56,561"
0x127cae460d6e8d039f1371f54548190efe73e756,"55,713"
0x035df12e0f3ac6671126525f1015e47d79dfeddf,"54,247"
0x00006100f7090010005f1bd7ae6122c3c2cf0090,"53,482"
0x11eef04c884e24d9b7b4760e7476d06ddf797f36,"51,812"
0x25caf15e1cc43e7bfa9853a68de463bfb0d27021,"51,159"
0x111111f7e9b1fe072ade438f77e1ce861c7ee4e3,"50,327"
0x153ed9cc1b792979d2bde0bbf45cc2a7e436a5f9,"49,786"
0x1234567461d3f8db7496581774bd869c83d51c93,"49,737"
0x00000100f2a2bd000715001920eb70d229700085,"49,584"
0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,"49,557"
0x07597255910a51509ca469568b048f2597e72504,"49,469"
0x1961b3331969ed52770751fc718ef530838b6dee,"49,397"
0x0000852600ceb001e08e00bc008be620d60031f2,"48,610"
0x1d72e76e38c815b9f91661c340949e8673e897b3,"48,491"
0x168296bb09e24a88805cb9c33356536b980d3fc5,"48,289"
0x10dc623fcb8a3c151875f03d442103cbf6469be6,"47,409"
0x1dc2189b355b5f53b5fdf64d22891900b19fb5ea,"46,815"
0x2008e3057bd734e10ad13c9eae45ff132abc1722,"46,798"
0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,"46,678"
0x0aab3ac447ea90739bdbe4e0e00af0a54038904a,"45,942"
0x08a2246dcb48db6a5a9e1f6bc082752fceddd106,"45,712"
0x13c2fab6354d3790d8ece4f0f1a3280b4a25ad96,"45,655"
0x1fe70be734e473e5721ea57c8b5b01e6caa52686,"44,579"
0x0f8c45b896784a1e408526b9300519ef8660209c,"44,414"
0x0A3ec7050884F00B5D9b11131De59DCed0fAFeDB,"44,312"
